,,,,,76,tehtavia,23,17,20,16
Arvosana,Pisteet,Tehtavapisteet,Tenttipisteet,,,Nimi,13.9.2018,20.9.2018,27.9.2018,11.10.2018
4,29.5,9.5,20,76.32%,58,A,23,15,20,0
0,4,0,4,9.21%,7,B,7,0,0,0
2,22,4,18,44.74%,34,C,6,5,12,11
2,22,10,12,80.26%,61,D,19,15,20,7
5,38.5,10,28.5,90.79%,69,E,23,17,20,9
5,38.5,10,28.5,81.58%,62,F,17,11,20,14
1,16,5.5,10.5,52.63%,40,G,0,13,16,11
5,34.5,10,24.5,80.26%,61,H,16,14,17,14
5,35,10,25,84.21%,64,I,20,9,20,15
1,16.5,6,10.5,56.58%,43,J,15,6,12,10
5,37.5,10,27.5,84.21%,64,K,19,10,20,15
5,33,10,23,90.79%,69,L,22,13,19,15
1,18,0.5,17.5,23.68%,18,M,,6,9,3
2,22,7,15,61.84%,47,N,16,9,13,9
3,26,0.5,25.5,23.68%,18,O,7,6,5,0
3,24.5,7,17.5,60.53%,46,P,,13,18,15
0,12.5,0,12.5,14.47%,11,Q,5,2,2,2
3,24,0.5,23.5,23.68%,18,R,,4,14,0
5,33,10,23,86.84%,66,S,21,14,18,13
5,30.5,8,22.5,68.42%,52,T,16,8,17,11
5,34,7.5,26.5,64.47%,49,U,8,13,18,10
4,29.5,5,24.5,51.32%,39,V,21,14,0,4
0,1,1,,26.32%,20,W,6,14,0,0
0,0,0,,13.16%,10,X,10,0,0,0
